UID	dby    DBY7286 Low-Pi vs. High-Pi||dby    	pho4c  PHO4c vs. wild type||pho4c  	pho80  pho80 mutant vs wild type||pho80  	"pho81  PHO81c vs. wild type, exp.1||pho81  "	"pho812 PHO81c vs. wild type, exp.2||pho812 "	pho85  pho85 delete vs. wild type||pho85  	"lowpho NBW7 strain High-Pi vs. Low-Pi, exp.2||lowpho "	"nbw    NBW7 strain low-Pi vs. High-Pi, exp.1||nbw    "
YOR096W	-0.3	-0.19	-0.17	0.56	-0.27	-0.53	0.34	-0.21
YLR148W	0.23	-0.05	0.06	0.09	0.31	-0.49	0.6	-0.11
YML045W	0.44	0.68	0.12	-0.4	0.74	-0.14		0.4
YNL153C	-0.29	-0.41	-0.04	0.61	-0.07	-0.42	0.35	-0.2
YOR098C	-0.15	0.2	-0.19	-0.49	-0.04	-1.17	-0.25	0.27
YLR150W	-0.05	-0.1	0.2	0.33	0.06	-1.01	0.9	-0.16
YML047C	0.44	-0.29	-0.33		0.52	-0.84	-1.33	-0.23
YNL155W	0.17	-0.53	-0.23	-0.43	-0.07	0.03	0.33	0.17
YML049C	0.61	0.22	-0.23	-0.23	0.75	-0.4	0.68	0.29
YNL157W	0.23	-0.4	-0.08	1.12	0.46	0.32	0.54	0.08
YOR102W	0.1	-0.33	-0.38	0.36	-0.06	-0.3	-0.18	-0.09
YML051W	0.52	0.21	0.02	0.46	0.28	-0.24	0.95	-0.11
YNL159C	0.62	-0.08	-0.32	1.3	0.36	0.24	0.36	0.13
YOR104W	-0.01	-0.39	-0.15	0.06	-0.12	-0.23	-1.54	-0.06
YML068W	0.32	0.16	-0.22	0.65	0.13	0.12	1.04	-0.14
YNL173C	0.54	-0.89	-0.7	-1.04	-0.34	-0.14	0.27	0.26
YOR118W	-0.09	-0.01	-0.09	-0.08	-0.11	-0.64	-0.23	0.08
YML070W	0.81	0.51	-0.32	1.44	0.95	0.01	0.96	0.14
YNL175C	-1.17	-0.45	-0.09	-0.55	0.02	-1.13	0.3	-0.15
YNL189W	-0.04	-0.26	0.07	0.23	-0.14	-0.81	0.63	0.15
YOR134W	0.9	-0.38	0.14		0.5	4.75	-1.48	-0.01
YNL191W	-0.43	-0.19	-0.23	-0.25	-0.29	-0.71	-0.14	0.14
YOR136W	0.79	-0.23	0.14	0.62	-0.21	0.44	0.86	0.26
YML091C	0.35	-0.38	-0.49		-0.17	-1.17	-0.41	-1.01
YNL193W	0.62	0.15	-0.28	0.52	0.16	-0.06	0.18	-0.19
YOR138C	0.09	0.11	-0.39	0.09	0.15	-0.48	-0.12	0.36
YML093W	-0.7	0.09	-0.46	-0.5	0.04	-1.37	0.31	-0.41
YNL195C	0.84	-0.17	-0.75		0.09	1.04	-0.09	-0.12
YOR140W	-0.1	0.31	-0.41	-0.2	0.22	-0.54	-1.53	0.09
YNL209W	-0.04	0.26	0.12	0.76	0.19	-0.81	0.79	-0.22
YNL211C	-0.03	-0.16	-0.39	1.17	-0.1	-0.2	-0.12	-0.05
YNL213C	-0.23	-0.45	-0.36	-0.09	-0.35	-0.79	0.01	0.06
YNL215W	-0.16	-0.1	0.13	0.06	-0.14	-0.52	-0.05	0.04
YNL217W	0.71	0.69	1.34	2.61	1.49	1.29	0.89	0.37
YNL219C	0.02	-0.22	0.4	-0.01	-0.15	-0.67	0.65	0.03
YNL233W	0.18	-0.03	-0.38	-0.4	-0.16	-1.04	0.03	0.08
YNL235C	0.06	0.46	-0.8	0.84	0.2	-0.81	-0.1	-0.45
YNL237W	0.42	-0.16	-0.18	0.3	0.06	0.21	-0.3	0.45
YNL239W	0.61	0.35	0.41	1.03	0.47	0.15	0.1	0.11
YNL241C	0.37	0.96	-0.71	0.25	0.82	0.79	0.38	0.21
YNL243W	0.19	0.38	-0.32	-0.07	0.31	-0.61	0.3	0.17
YLR080W	0.95	0.24	-0.29	1.95	1.03	0.67	0.75	0.37
YLR082C	0.12	-0.41	-0.24	-0.31	-0.12	-0.56	0.35	0.54
YLR084C	0	0.3	-0.42		0.2	-0.2	0.34	0.11
YLR088W	0.77	1.04	-1.2	-2	0.99	-0.14	0.25	0.62
YLR104W	0.39	0.14	-0.08		0.42	-0.44	0.71	-1.03
YLR106C	0.26	0.21	-0.3		0.74	0	0.97	1.85
YLR131C	-0.04	0.38	0	0.4	1.22	-0.27	0.3	-0.45
YLR108C	2.35	0.1	0.02	-0.55	0.62	0.39	1.49	0.36
YLR464W	0.49	-0.4	0.17	-0.01	0.37	0.17	0.45	0.95
YOR058C	0.08	0.06	-0.97	-0.55	-0.09	-0.91	-0.05	-0.17
YLR110C	0.41	-0.85	0.36	-0.02	-0.46	0.09	0.58	-0.25
YLR466W	0.63	-0.17	-0.32	0.39	0.59	0.05	0.39	-0.14
YML001W	0.25	-0.69	-0.03	0.02	-0.12	-0.14	0.21	-0.22
YOR064C	-0.17	-0.16	-0.43	-0.09	-0.19	-0.98	-1.09	0.03
YLR128W	0.11	-0.07	0.02	0.42	0.12	-0.11	-0.05	-0.14
YML005W	-0.12	0.26	-0.23	0.09	0.23	-0.38	0.11	-0.01
YOR066W	0.19	0.09	-0.62	-0.32	-0.04	-1.62	-1	0.46
YLR130C	-0.63	0.17	-0.26	0.47	0.4	-0.58	0.62	-0.17
YML007W	0.48	0.07	-0.15	-0.13	0.49	-0.42	0.4	0.27
YOR068C	0.11	-0.53	-0.94	-0.83	-0.18	-1.24	-0.37	0.28
YLR132C	0.58	0.1	-0.35	0.92	0.3	-0.43	0.72	0.13
YML023C	-0.56	-0.06	-0.73	0.7	0.05	-0.07	0.3	0.75
YOR082C	-0.04	-0.53	-0.51		0.08	-0.98	-1.24	0.37
YLR134W	0.31	0.18	-0.6	0.43	0.38	-0.11	0.49	-0.04
YML028W	0.56	-0.43	0.62	0.66	0.12	-0.03	1.01	-0.02
YLR136C	0.2	0.9	0.09	-0.11	0.13	0.08	0.41	-0.23
YML030W	0.15	-0.17	0.15	0.21	-0.23	-0.54	0.22	0.04
YOR086C	0.69	0.29	-0.45	-0.37	0.22	-0.68	0.42	0.41
YLR138W	0.28	0.29	0.13	-0.14	0.45	-0.95	0.64	0.12
YML032C	0.14		-0.46	-0.3	-0.07	-0.57	0.09	0.3
YOR088W	0.34	0.36	-0.55	0.35	0.07		-0.11	0
YNL163C	-0.54	0.03	-0.69	-0.87	-0.2	-1.36	0.09	0.37
YLR152C	1.19	0.28	-0.06	0.34	0.5	1.3	1.52	-0.05
YML034W	0.66	0	-0.03	-0.24	0.09	-0.63	0.58	0.34
YOR090C	0.22	0.12	-0.2	0.19	0.09	-0.95	-0.26	0.24
YLR154C	-0.04	-0.21	0.11	0.26	0.23	0.07	0.49	0.03
YML037C	-0.14	-0.24	-0.47	-0.61	0.23	-1.43	-0.19	0.26
YOR092W	0.88	0.37	-0.11	0.35	0.5	-0.39	1.29	0.4
