UID	dby    DBY7286 Low-Pi vs. High-Pi||dby    	pho4c  PHO4c vs. wild type||pho4c  	pho80  pho80 mutant vs wild type||pho80  	"pho81  PHO81c vs. wild type, exp.1||pho81  "	"pho812 PHO81c vs. wild type, exp.2||pho812 "	pho85  pho85 delete vs. wild type||pho85  	"lowpho NBW7 strain High-Pi vs. Low-Pi, exp.2||lowpho "	"nbw    NBW7 strain low-Pi vs. High-Pi, exp.1||nbw    "
YCRX17W	0.59	0.58	-0.03	1.26	1.21	-0.48	0.25	0.31
YGR075C	0.2	-0.46	-0.18	0.43	-0.12	-0.03	0.26	0.13
YJL056C	0.9	0.64	0.36	1.9	1.26	0.13	0.6	0.6
YDR160W	0.25	-0.7	-0.55	-0.04	0.11	-0.14	0.3	0.17
YLR038C	0.29	0.05	0.02	0.77	-0.29	-0.78	0.45	0.03
YER101C	0.46	0.02	-0.18	1.28	0.38	-0.56	0.54	-0.03
YPL197C	0.05	0.06	0.12	0.43	0.39	-0.18	-0.06	-0.14
YCRX19W	-0.2	-0.95	-0.23	-1.29	-0.32	-0.9	0.2	0.25
YGR077C	-0.08	-0.28	0.07	0.25	-0.05	-0.63	0.42	0.04
YJL058C	0.12	0.2	-0.21	0.27	-0.04	-0.28	0.14	0.12
YLR040C	-0.05	-0.41	-0.81	-0.29	-0.32	-0.87	0.47	0.12
YPL206C	0.71	0.16	0.45	1.69	0.45	0.06	0.54	
YER117W	-0.32	-0.69	-0.14	0.09	-0.11	-0.37	0.59	-0.01
YCRX21C	0.26	0.02	-0.05	0.4	0.4	-0.31	0.76	0.06
YGR079W	-0.34	-0.26	-0.36	0.17	-0.15	-0.48	0.12	0.02
YJL060W	0.69	0.46	0.29	1.3	0.84	0.56	0.68	0.03
YLR042C	0.21	-0.15	-1.09	-0.08	-0.91	-1.28	-0.35	-0.19
YPL214C	0.25	0.58	-0.14	0.14	0.2	-0.49	0.65	-0.09
YAL026C	0.17	0.33	-0.22	0.2	0.48	-0.58	1.55	0.65
YDL050C	-0.72	-0.62	-0.1	-0.11	-0.14	-0.94	0.72	0.17
YDR191W	0.09	0.36	0.46	0.38	0.29	0.31	0.27	-0.24
YER132C	0.31	0.23	-0.17	-1.01	0.28	-1.29	0.22	-0.07
YGR129W	-0.04	-0.26	-0.07	0.35	0.13	-0.14	0.88	0.21
YJL110C	0.27	0.12	-0.66	-0.15	0.32	-0.96	0.44	-0.19
YOR166C	-0.2	0.06	-0.17	0.75	-0.08	-0.71	0.18	-0.17
YHR139C-A	0.58	0.1	0.02	-0.06	0.67	-0.56	0.55	
YAL028W	0.67	0.24	0.19	0.11	0.65	0.27	1.58	0.12
YDL052C	0.2	0.31	0.18	0.18	0.45	0.04	0.79	-0.04
YDR207C	-0.05	-0.04	0.11	-0.18	0.38	-0.41	-0.65	-0.21
YEL026W	-0.39	-0.21	0.54	0.68	0.05	-0.56	1.15	0.12
YER148W	-0.32	-0.56	0.07	-0.25	-0.49	-1.25	0.45	0.16
YGR131W	0.38	-0.09	-0.17	0.18	0.49	0.32	0.93	0.28
YGR137W	-0.01	-0.01	-0.2	1.08	0.44	0.41	0.71	-0.15
YJL112W	0.31	-0.18	-0.27	0.02	-0.1	-0.34	0.69	0.18
YMR308C	0.3	0.13	-0.47		0.23	-0.83	0.49	0.91
YOR168W	-0.55	0.16	-0.25	-0.03	0.04	-1.14	0.46	0.14
YER093C-A	0.28	-0.01	-0.16	0.04	0.19	-0.24	0.35	
YNL262W	0.53	-0.09	0.03	-0.79	0.32	-1.04	-0.06	-0.16
YAL029C	0.12	0.47	-0.1	0.43	0.56	-0.33	2.38	0.04
YDL054C	0.12	-0.17	-0.07		-0.16	0.31	0.82	0.4
YDR223W	0.41	-0.2	0.34	-0.39	-0.12	-0.22	-0.19	0.11
YER164W	0.03	0.24	0.17	-0.04	0.53	-0.49	0.36	0.59
YJL114W	0.49	-0.2	-0.49		0.1	-0.17	0.62	0.2
YMR310C	-0.94	-0.38	-0.16	-0.27	-0.48	-1.3	-0.38	-0.1
YOR170W	0.28	0.25	-0.07	0.76	0.26	-0.83	0.4	-0.12
YNL289W	0.04	0.4	-0.28	0.05	0.09	-0.84	0.22	-0.18
YAL031C	0.84	0.68	-0.12	0.55	0.77	-1.58		0.63
YDL056W	0.22	-0.03	0.24		-0.01	-0.06	0.61	0.31
YEL030W	0.24	0.2	-0.13	0.56	0.17	-0.09	0.48	0.14
YER180C	0.24	0.01	0.49	0.97	0.36	-0.89	0.35	0.06
YGR135W	0.17	-0.41	-0.16	0.47	-0.15	0.04	0.47	0.14
YJL116C	0.37	0.33	-0.32	1.9	0.34	0.23	0.53	0.06
YMR312W	-0.18	-0.15	0.01	1.13	-0.11	-0.43	0.33	0.07
YOR172W	0.23	-1.2	-0.55	0.78	1.03	-0.23	0.8	
YDR237W	0.16	-0.1	0.24	0.13	0.02	-0.85	0.33	-0.98
YAL033W	-0.11	0.18	0.07	0.74	0.21	-2.32	3.35	0.42
YBL099W	0.16	0.24	0.51	1.05	0.28	0.21	0.88	0.1
YDL058W	0.41	0.38	-0.06		0.8	-0.04	0.94	0.08
YDL212W	0.09	-0.49	0.08	0.41	-0.12	-0.19	0.59	-0.06
YGL156W	1.5	0.09	-0.19	1.38	1.63	0.59	-0.33	0.19
YJL118W	0.05	0.92	-0.76	2.54	0.65	-0.14	0.88	0
YIL029C	0.36	0.03	-0.37	-0.06	0.26	-0.06	0.13	-0.3
YKL190W	0.28	-0.06	0.09	0.56	0.17	0.34	0.17	-0.26
YMR314W	0.13	-0.21	-0.19	0.97	-0.01	0.13	0.53	-0.15
YNL065W	-1.51	-0.11	-0.73	-0.6	-0.45	-1.39	-0.72	-0.17
YOR174W	0.28	-0.54	-0.47	0.31	0.29	-0.23	0.73	
YOR250C	0.03	0.31	-0.63	0.12	-0.1	-0.91	-0.28	-0.34
YBL066C	0.72	-0.15	0.42	-0.54	0.79	0.16	-0.62	0.96
YAL034C	0.95	0.24	0.09	0.26	0.56	-0.09	1.41	0.26
YBL101C	0.24	0.16	0.01	0.31	0.28	0.09	0.48	0.04
YDL060W	-0.98	0.26	0.09		0.07	-0.78	0.4	0
YDL228C	0.18	-0.49	-1.32	0.06	-0.02	-0.19	1.01	0.56
YEL034W	0.27	-0.48	0.12	-0.04	-0.12	-0.76	0.81	0.28
YEL010W	0.4	-0.35	0.16	-0.14	0.41	0.02	0.45	-0.04
YGR139W	0.16	0.27	-0.29		0.6	0.55	0.92	-0.04
YGL172W	-0.05	0.25	-0.72	2.03	0.16	-0.92		-0.14
YIL031W	0.54	0.13	-0.52	-0.42	0.2	-0.95	-0.2	0.29
YJL120W	0.33	0.74	-0.87	2.59	0.76	0.06	1.07	-0.07
YKL192C	0.36	-0.57	0.59	0.4	0.25	-0.04	0.45	0.19
YMR316W	-0.03	0.23	-0.52	1.89	1.22	1.25	0.43	0.18
YNL067W	-0.32	0.09	0.03	0.44	-0.18	-0.49	0.27	-0.03
YOR176W	0.44	-0.07	0.07	1.08	0.28	-0.23	0.68	
YOR252W	-0.97	-0.47	-0.35	-0.37	-0.56	-1.3	-0.15	0.18
YDR179W-A	-0.24	-0.68	-0.3	-0.06	0.09	0.46	0.35	
YBL101W-B	0.15	0.26	0.3	0.02	0.48	-0.4	0.24	0.1
YDL244W	0.31	0.09	-0.7	-0.07	0.14	0.51	1	-0.11
YDL098C	-0.11	-0.02	0.03		0.15	2.58	0.7	-0.1
YEL072W	0.29	0.47		1.14	0.8	1.14	0.91	-0.08
YEL025C	0.56	0.06	0.03	-0.48	0.51	-0.3	0.52	0.65
YGL188C	0.03	-0.36	0.23		-0.52	-0.16	0.09	0.16
YGR177C	-0.34	0.1	0.1	1.94	1.3	-0.62	1.51	-0.06
YIL033C	0.72	0.06	0.05	0.69	0.33	-0.19	0.23	0.43
YNL029C	-0.19	-0.18	-0.38	0.45	-0.25	-0.32	0	-0.24
YNL069C	-0.36	-0.62	-0.06	-0.06	-0.41	-0.76	0.55	0.23
YOR254C	-0.03	0.23	-0.14	-0.07	-0.1	-1.33	0.28	0.08
YOR214C	-0.12	-0.12	-0.87	-0.28	-0.07	-0.43		-0.38
YBR038W	0.05	0.02	-0.39	0.36	0.15	0.39		-0.03
YGL226C-A	0.24	-0.57	0.11	0.04	-0.07	0.03	0.45	0.66
YBL103C	0.33	0.36	0.01	0.16	0.64	0.8	0.52	0.2
YDR012W	-0.11	0.16	0.34	0.34	0.08	-0.4	0.98	-0.28
YDL100C	0.31	-0.33	0.13		-0.09	-0.55	0.84	0.11
YEL041W	0.44	-0.26		-0.3	0.12	0.35	0.24	-0.07
YEL074W	0.53	0.02	0	0.7	0.48	0.43	0.99	0.46
YGL204C	-0.04	-0.06	-0.03	0.17	0.33	-0.21	0.37	0.34
YGR179C	0.23	-0.18	-0.15	0.43	0.04	-0.39	1.02	0.04
YIL035C	-0.07	-0.39	-0.1	-0.18	-0.25	-0.6	0.29	0.19
YJL160C	-0.14	0.12	-0.66		0.08	0.14	0.12	-0.17
YKL196C	0.03	-0.5	0.05	0.06	-0.16	0.08	0.21	0.08
YNL071W	0.47	0.28	-0.17	0.52	0.39	-0.22	0.52	-0.12
YNL031C	0.17	-0.51	0.16	0.25	-0.23	-0.44	0.78	-0.16
YOR256C	0.58	0.14	-0.6	-0.09	0.13		0.04	0.22
YOR216C	-0.3	-0.4	-0.24	-0.23	-0.38	-0.64		-0.06
YBR058C	0.39	-0.04	0.22	0.33	0.17	0.63	0.32	0.07
YER060W-A	-0.01	0.27	-0.49	0.09	0.1	-0.54	0.59	-0.08
YBL105C	0.21	0.16	0.11	0.17	0.28	0.58	0.55	0.21
YDR028C	0.23	-1.03	-0.9	-1.78	0.54	-1.16	0.94	-2
YDL102W	0.16	0.12	0.08		0.27	-0.58	0.59	0.26
YEL057C	-0.16	0.24	-0.31	0.35	0.2	-0.14	-0.02	-0.13
YEL076C	0.64	0.03	-0.11	-0.07	0.38	0.43	0.86	0.74
YGL220W	0.37	-0.28	-0.09	0.94	-0.22	-0.13	0.24	0.21
YGR181W	0.32	0.12	-0.04	0.45	0.15	0.12	0.75	-0.01
YIL037C	0.41	-0.06	-0.68		0.2	-0.45	-0.07	0.06
YJL162C	-0.05	-0.33	-0.37	-0.07	0	-0.43	0.45	-0.16
YKL198C	0.89	-0.68	0.52	-0.08	1.63	-1.18	-0.57	
YNL073W	0.46	0.07	-0.16	0.38	0.33	-0.38	0.2	0.28
YNL033W	0.36	-0.13	-0.49		-0.24	-0.14	0.04	0.18
YOR258W	-0.1	0.12	-0.35	0.13	-0.13	-0.56	-0.47	-0.12
YOR218C	0.01	0.19	-0.37	0.49	0.41	-0.76		-0.29
YLR312W-A	-0.13	-0.18	-0.34	0.08	-0.19	-0.46	0.28	-0.01
YBL107C	0.22	0.01	0.17	0.26	0.15	0.18	0.5	0.09
YDR044W	0.36	0.07	0.16	0.72	0.74	-1.4	1.41	-0.09
YAR027W	0.89	0.62	0.09	1.05	1	0.37	1.58	-0.12
YDL104C	-0.08	0.14	0.14		0.32	0.52	0.2	-0.01
YGL236C	-0.4	0.52	-1.25	-0.64	0.11	-1.83		0.02
YGR183C	0.28	-0.08	0.04	0.73	-0.1	-0.04	0.84	-0.07
YIL039W	0.22	0.17	0.01	0.41	0.18	-0.6	0.41	0.27
YKL200C	0.89	0.2	0.3	0.59	0.88	-0.27	-0.05	0.59
YJL164C	1.38	-0.02	-0.1	0.48	0.39	0.48	1.37	0.34
YNL075W	-0.98	0.23	-0.04	-0.06	-0.15	-1.08	-0.19	-0.48
YOR260W	-0.09	0.25	-0.24	-0.08	-0.07	-0.9	0.12	0.01
YNL035C	-0.16	-0.11	-0.33		0.08	0	0.27	-0.22
YBR140C	0.41	-0.12	-0.05		0.43	-0.82	0.8	-0.01
YOR220W	0.44	0.14	-0.34	1.45	0.94	0.64	0.45	0.01
YML010C-B	-0.28	-0.16	-0.79	0.17	0.56	-0.48	0.62	-0.68
YBR030W	0.21	-0.16	-0.64	-0.48	0.31	-0.16		0.04
YDL216C	0.25	-1.01	-0.65		0.31	-0.24	0.23	0.53
YDR543C	0.13	0.04	0.41	-0.03	0.25	0.21	0.07	-0.21
YGL160W	0.55	-0.15	-0.12	0.45	0.08	-0.03	0.56	0.21
YDL106C	0.38	-0.06	-0.15		0.19	-0.21	0.31	0.04
YER003C	0.59	0.46	-0.01	1.09	0.58	-0.12	0.89	0.25
YIL077C	0.55	-0.03	-0.32	0.49	0.34	-0.1	0.27	0.3
YGR185C	-0.08	-0.2	0.12	0.37	0.11	-0.45	0.6	-0.16
YKR013W	0.5	-0.4	-0.99	-0.62	0.05	-2.88	0.23	0.14
YJL166W	0.55	0.05	0.23		0.25	0.48	0.85	0.07
YNL113W	-1.06	-0.34	0.18	-0.06	-0.45	-0.81	-0.1	-0.24
YOR298W	-0.04	-0.07	-0.67	0.38	-0.11	-0.17	0.19	-0.01
YNL037C	0.4	0.27	0.09	1.19	0.14	0.62	0.78	-0.16
YDL171C	-0.08	-0.14	-0.38	0.34	0.13	-0.02	0.51	-0.07
YOR222W	-0.11	-0.18	-0.52	0.49	-0.04	-0.03	0.22	-0.1
YOR008C-A	0.03	-0.61	-0.5	-0.02	0.23	-0.07	0.79	0.14
YBR032W	0.04	-0.15	-0.77	-0.22	0.11	0.18		0
YDL232W	0.34	-0.55	-0.54	0.38	-0.19	-0.31	0.67	-0.13
YEL014C	-0.1	0.26	0.29	-0.12	0.17	-0.39	0.09	-0.38
YGL176C	-0.13	0.11	-0.13	-0.11	0.06	-0.56	0.55	0.16
YDL108W	0	-0.09	-0.15		0.1	-0.8	0.61	-0.01
YIL079C	-1.18	-0.14	-0.3	-0.25	-0.25	-1.17	-0.25	-0.04
YER005W	0.27	0.29	-0.1		0.62	0.32	1.2	0.37
YKR015C	0.94	-0.17	-0.75	-0.54	0.06	-0.8	-0.12	-0.03
YGR187C	-0.84	-0.11	-0.3	-0.14	-0.18	-0.92	0.29	-0.31
YNL115C	0.74	0.22	0.02	0.74	0.7	0.27	0.35	0.11
YJL168C	0.28	0.2	-0.4	0.17	0.16	-0.45	0.69	0.06
YOR300W	0.4	0.17	-0.56	0.5	0.41	-0.08	0.03	-0.24
YDL177C	-0.19	-0.14	0.26		0.06	0.36	1	-0.13
YNL039W	0	-0.13	-0.15	-0.25	-0.12	-0.55	0.61	0.06
YOR224C	-0.55	-0.41	-0.25	-0.04	-0.31	-0.68	0.3	-0.23
YBR034C	0.03	-0.09	-0.44	-0.13	0.04	-0.03		-0.03
YDL248W	0.49	0.25	0.22	1.2	0.81	0.91	1.3	-0.01
YEL029C	-0.29	0.33	0.13	0.32	0.01	-0.39	0.86	-0.14
YBR183W	1.11	-0.01	0.06	0.28	0.33	0.32	1.06	0.24
YGL192W	0.27	-0.25	0.41	0.49	-0.11	-0.03	0.58	0.43
YIL082W	0.42	-0.14	-0.22	0.1	0.32	-0.24	0.33	-0.02
YGL008C	0.42	0.54	0.61	0.93	0.24	-0.29	1.32	0.52
YKR017C	0.74	0.3	-0.43	-0.64	0.66	-1.19	0.24	-0.22
YKL106W	-0.03	0.21	-0.28	0.45	0.38	-0.38	0.24	-0.31
YNL117W	0.25	0	-0.55	0.9	-0.35	-0.04	-0.75	0.1
YOR302W	-0.67	0.07	-0.41	-0.35	-0.06	-0.77	0.2	0.25
YNR026C	0.09	0.23	0.03	0.15	-0.06	-0.7	-0.14	-0.03
YDL183C	-0.17	-0.48	-0.65	-0.4	-0.19	-3.21	-0.31	-0.63
YPL156C	0.16	-0.02	0.11	1.04	0.45	-0.12	0.13	0.05
YGL122C	-0.17	-0.04	-0.01	-0.33	0.24	0.5	0.46	0.11
YBR036C	-0.39	-0.04	-0.15	0.7	-0.11	1		-0.07
YDR016C	0.05	-0.26	-0.59	-0.78	-0.33	-0.37	0.2	-0.4
YBR185C	0.73	0.15	0.02	0.37	0.14	0.69	1.18	0.02
YEL045C	-0.03	0.46		-1.06	0.41	-0.93	0.4	-0.14
YDR188W	-0.13	0.39	-0.21	0.76	0.29	-0.3	0.57	-0.05
YGL208W	0.6	-0.25	-0.02		0.52	0.1	-0.24	-0.16
YGL010W	0.45	0.38	-0.23	0.77	0.39	-0.1	0.63	0.1
YIL084C	0.15	0.29	-0.18	-0.17	-0.09	-0.2	0.17	0.2
YHR166C	0.17	-0.01	-0.46	0.08	0.12	-0.2	0.17	-0.04
YKR019C	0.39	0.31	-0.25	-0.26	1.15	-0.93	0.39	-0.01
YKL108W	0.1	0.06	-0.24		0.08	-0.7	-1.93	-0.16
YNL119W	-0.74	0.12	-0.1	0.03	-0.28	-1.02	0.05	-0.13
YOR304W	0.33	0.33	-0.23	0.12	0.14	-0.83	0.27	0.06
YNR028W	0.03	-0.15	-0.05	0.56	-0.3	-1.08	0.23	-0.12
YPL158C	-0.52	-0.47	0	-0.54	-0.06	-0.82	0.36	0.06
YGL126W	1.32	-1.07	0.44	-0.31	0.54	3.25	0.54	0.88
YDR032C	0.92	-0.13	0.15	0.85	0.25	0.46	0.63	-0.45
YBR187W	-0.08	0.42	-0.22	0.29	0.14	0.59	1.05	-0.03
YGL224C	0.7	0.29	0.35	0.72	0.65	0.32	0.66	0.05
YIL086C	0.2	0.12	-0.37	0.34	0.29	-0.07	0.27	0
YHR168W	-0.01	0.12	-0.3	1.68	0.21	-0.51	0.2	-0.03
YKR021W	0.45	0.18	-0.41	-0.17	0.48	-0.74	0.12	0.5
YKL110C	-0.27	0.07	-0.17	0.26	-0.01	-0.38	0.34	-0.21
YNL121C	-0.14	0.74	-0.46	0.46	0.73	-0.65	0.44	1.42
YOR306C	-1.06	0.37	-0.19	-0.74	-0.42	-0.42	-0.58	-0.59
YNR030W	0.48	-0.02	0.46	0.42	-0.01	-0.3	0.86	0.17
YGL132W	0.19	0.22	0.03		0.3	-0.37	0.38	-0.04
YBR040W	-0.04	-0.12	-0.13	-0.32	0.07	-0.15		-0.17
YDR048C	-0.22	0.01	-0.55	0.23	0.22	-0.5	0.54	-0.12
YBR189W	-0.52	-0.51	0.54	0.46	-0.38	0.11	1.03	0.07
YDR192C	-0.14	-0.14	-0.24		0.17	-0.3	0.07	0.09
YGL240W	0.08	0.01	-0.94	-1.1	-0.17	-0.82		0.36
YGL014W	0.29	0.62	0.01	0.17	0.48	-0.64	0.71	0.39
YIL088C	0.7	0.21	0.45	0.58	0.45	0.32	0.65	0.39
YHR170W	-0.84	-0.09	-0.12	0.02	-0.13	-1.34	0.3	-0.16
YKR023W	0.1	0.03	-0.3	-0.1	0.18	-1.01	0.78	-0.03
YKL112W	0.11	0.01	-0.22	1.26	0.23	-0.29	1.39	-0.09
YNL123W	-0.15	0.42	-0.13	-0.21	-0.2	-1.1	-0.04	0.02
YOR308C	-0.28	0.19	-0.11	-0.12	-0.42	-1.1	-0.71	-0.41
YNR032W	0.47	-0.03	-0.06		0.14	0.02	-0.23	-0.14
YPL162C	0.11	0.17	-0.06		0.24	-0.59	0.49	0.09
YGL137W	0.41	0.29	0.13	-0.52	0.41	-0.86	1.01	0.23
YCL062W	0.15	0.14	-1.24	-0.44	0.49	-1.23		0.3
YDR273W	-0.16	-0.37	-0.91	-0.37	0.25	-1.17	-0.25	-1.14
YFL002C	-0.09	-0.01	0.22	0.07	0.23	-0.73	0.49	0.13
YBR191W	-0.41	-0.71	0.01	0.39	-0.29	0.43	0.68	0.08
YGR213C	0.31	0.28	0.05	2.25	1.91	0.73	-0.61	0.07
YDR194C	-0.3	-0.24	-0.15	-0.27	-0.13	-0.92	0.33	0.11
YHR172W	-0.24	-0.16	-0.31		0.05	-0.6	0.58	-0.05
YLR176C	-0.41	0.09	-1.07	-0.35	0.16	-0.45	-0.16	-0.36
YKL114C	0.04	-0.19	0.02	0.8	0.09	-0.06	0.67	-0.06
YML108W	-0.57	-0.57	-0.31	-0.31	-0.21	-1.13	0.12	-0.04
YOL033W	0.24	-0.02	-0.21	0.23	0.05	-0.17	-0.35	-0.07
YNR034W	1.32	0.04	0.16	0.81	0.18	-0.17	0.72	0.16
YPL164C	0.71	0.02	0.16		0.23	-0.15	-0.33	-0.25
YGL140C	-0.2	-0.6	0.01		0.1	0.3	0.34	-0.52
YBR193C	0.07	0.43	-0.07	0.81	0.11	1.04	1.48	0.05
YCL064C	0.07	0.72	1.04	2.42	0.4	-1.88		-0.45
YDR196C	0.11	-0.16	0.02	0.03	-0.1	0.08	0.72	-0.01
YDR274C	-0.09	0.1	-0.87	-0.46	0.37	-0.78	0.38	-0.63
YGL018C	-0.05	0.07	-0.03	0.5	0.12	-0.24	0.26	-0.08
YHR174W	0.4	0.3	0.07	0.81	0.75	0.31	1.48	-0.45
YGR215W	-0.16	-0.15	0.12	0.04	-0.16	-0.73	0.05	-0.13
YJL196C	0.22	-0.24	0.07	0.08	-0.52	-0.68	0.39	-0.08
YKL116C	0.22	-0.03	-0.16	1	0.17	-0.09	0.62	0.19
YLR178C	-0.39	0.91	-1.24	-0.75	0.57	-1.81	0.22	0.26
YML021C	-0.08	-0.19	0.01	0.15	-0.09	-0.32	0.33	0.17
YML110C	0.5	0.22	-0.35	0.64	0.17	-0.48	0.57	-0.28
YNR036C	0.33	0.09	0.09	1.67	0.07	-0.38	0.22	-0.32
YOL035C	0.04	-0.03	-0.33	0.46	0.11	-0.35	-0.14	-0.35
YPL166W	0.82	0.55	0.41		0.81	-0.33	0.22	0.96
YPL242C	-0.88	-0.28	0.27	-0.55	-0.3	-1.09	0.02	0.01
YGL143C	0.26	0.17	-0.02	-0.06	0.11	-0.84	-0.21	-0.07
YBR231C	0.18	0.33	-0.06	5.3	0.45	0.4	3.12	0.11
YGL056C	-0.06	0.01	-0.11	0.37	0.19	-0.98	0.48	-0.06
YDR275W	0.21	-0.1	-0.41	0.13	0.13	-0.62	0.33	-0.17
YHR212C	0.16	0.18	-0.81	0.03	0.36	-0.08	0.16	0.09
YFL031W	-0.11	0.25	-0.75	0.29	0.59	0.6	-0.07	1.33
YKL154W	-0.02	-0.77	-0.29	-0.81	-0.13	-0.64	0.44	0.16
YJL198W	-0.41	0.25	-0.3	-0.53	-0.07	-1.52	-0.32	0.52
YNR074C	0.23	0.04	-0.23	0.17	0.14	-0.59	0.41	0.16
YLR180W	0.45	0.28	-0.26	0.49	0.42	-0.59	0.56	-0.23
YPL204W	0.06	-0.04	0.1	0.27	0.01	-1.07	0.52	
YML112W	-0.06	-0.14	-0.44	0.03	-0.25	-0.87	-0.39	0.08
YHR039C	0.51	-0.88		-0.92	0.45	-1.07	0.28	-0.64
YOL037C	0.23	-0.18	-0.4	-0.58	-0.12	-0.45	-0.11	0.02
YPL244C	0	0.27	-0.05	0.72	0.23	0.36	-0.42	-0.34
YBR233W	0.11	0.2	-0.16		0.16	1.3	0.14	-0.06
YDR250C	0.06	-0.52	-0.43	-0.09	0.34	-0.18	0.44	0.06
YGL058W	-0.04	-0.41	-0.21	0.25	0.01	-0.12	0.33	0.14
YHR214W	0.44	0.18	-0.1	-0.07	0.28	-0.69	0.93	0.67
YCL068C	0.18	0.01	-1.2	-0.25	0.82	-0.43		-0.13
YKL156W	-0.4	-0.64	-0.29	-0.26	-0.31	-0.6	0.16	-0.12
YDR276C	0.47	-0.89	-0.5	0.56	-0.19	0.07		0.29
YFL045C	0.54	0.1	0.52	0.77	0.23	0.05	1.02	-0.06
YNR076W	0.41	-0.02	-0.39	0.19	0.66	0.16	0.9	0.15
YGR219W	0	-0.06	-0.11	1.24	0.12	-0.43	-0.01	-0.22
YJL200C	-0.73	0.04	-0.59	-0.38	0.1	-0.04	0.28	0.51
YHR075C	0.06	-0.29	0.08		0.7	0.3	0.41	-0.11
YLR182W	0.64	0.08	-0.93	-0.63	1.07	-0.66	0.51	0.64
YML114C	-0.15	0.05	-0.59	0.49	-0.07	-1.06	-0.38	-0.09
YBR235W	0.17	0.43	0.05	0.87	0.46	0.09	2.94	0.31
YOL039W	-0.1	-1.38	-0.02	-0.48	-0.65	-1.03	0.77	0.3
YDR252W	0.29	0.15	-0.19	-0.18	0.62	-0.28	0.8	-0.05
YPL246C	0.46	0.35	-0.49		0.34	-0.44	0.18	1.38
YGL060W	0.06	-0.19	-0.26	-0.4	-0.04	-0.6	0.38	0.04
YHR216W	-0.09	0.53	0.13	0.69	0.22	-0.08	0.81	-0.04
YKL157W	0.85	0.38	0.16	0.66	0.68	0.55		0.43
YOL001W	0.67	0.26	0.04	1.72	0.62	0.26	-0.56	0.19
YFL061W	0.16	0.02	-0.2	0.11	0.02	0.24	0.15	-0.15
YPL208W	0.23	-0.04	0.07	-0.02	0.07	-0.58	0.28	
YGR221C	0.4	0.1	-0.28	0.5	0.17	-0.57	-0.14	0.04
YHR078W	-0.06	-0.05	-0.95	0.75	0.37	-0.09	0.74	-0.07
YJL202C	-0.23	-0.63	-0.11	-0.41	-0.29	-0.5	0.26	0.03
YML116W	-0.31	0.42	-0.83	-0.5	0.04	-0.78	0.47	-1
YDR254W	0.49	0.04	-0.02	0.59	0.48	0.12	0.91	0.36
YOL041C	0.51	1.2	-0.33	0.39	0.11	-1.39	0.09	-3.54
YPL248C	0.49	0.19	0.09	0.5	0.24	0.58	-0.05	0.08
YHR218W	0.58	-0.01	-0.14	-0.05	0.54	0.14	0.81	0.95
YKL160W	0.32	-0.15	0.18	5.01	0.22	0.23	0.56	0.1
YOL003C	0.16	0.11	0.11	1.47	0.09	-0.24	-0.33	-0.4
YPL210C	-0.32	0.06	0.1	-0.12	-0.25	-1.06	0.33	
YDR280W	-0.34	0.14	-0.3	0.48	0.23	-0.46		-0.35
YFR007W	-0.02	-0.07	0.03	-0.06	0.06	-0.25	-0.01	0.49
YGR223C	0.44	-0.2	-0.24	-0.03	-0.08	-0.47	-0.03	-0.04
YBR239C	-0.15	0.16	-0.13	-0.62	0.1	-0.2		-0.04
YJL204C	0.46	0.07	-0.43		-0.23	-0.48	0.71	1.27
YDR256C	0.04	0.1	-0.33	0.24	0.24	0.01	0.77	0
YGL064C	-0.16	-0.04	-0.21	0.33	-0.14	-0.53	-0.16	-0.1
YML118W	0.43	-0.25	-0.52	1.35	0.29	0.14	-1.68	-0.13
YIL001W	0.37	0.11	-0.38	0.44	0.23	0.36	0.52	0.16
YOL043C	-0.03	-0.27	-0.23	-0.14	-0.28	-0.22	-0.4	-0.26
YKL162C	0.7	-0.07	0.05		0.07	-0.16	-0.01	0.04
YPL250C	0.71	0.22	0.58	0.97	0.51	0.56	0.93	-0.06
YOL005C	0.05	0.07	0.09	0.58	0.08	-0.52	0.21	-0.09
YPL212C	-0.68	0.43	-0.29	0.17	0.1	-0.9	0.12	
YCR024C	0.43	-0.04	-0.21	0.29	0.12	-0.23	1.38	0.18
YHR165C	-0.05	0.17	-0.04	-0.19	0.41	-0.1	0.56	0.12
YDR318W	0.33	-0.74	-0.39	0.83	0.02	-0.16	0.75	-0.29
YBR241C	0.23	0.38	0.18	0.84	0.82	0.29	1.74	0.1
YFL006W	0.14	0.34	0.01	0.09	0.25	-0.7	0.27	-0.17
YDR258C	0.65	0.1	-0.46	-0.17	0.74	1.18	1.4	0.63
YGR261C	0.34	0.24	-0.32	-0.09	0.24	-0.97		0.32
YJR017C	0.15	0.74	-0.64	0.34	0.66	0.09	0.96	-0.48
YIL003W	-0.23	0.23	-0.4	0.6	0.03	-0.69	0.28	-0.25
YLR224W	0.04	0.19	-0.59		1	-0.6	0.76	-0.27
YKL164C	0.26	-0.22	0.18	0.48	0.18	0.25	1.11	0.04
YMR026C	0.25	0.2	-0.09	0.37	-0.11	-0.19	0.05	-0.17
YOL080C	-1.11	-0.12	-0.63	-0.82	-0.45	-1.25	-0.09	-0.3
YOL007C	-0.13	-0.5	-0.17	0.02	-0.32	-0.82	-0.8	-0.17
